ano,mes,data,regiao,uf,combustivel,preco_medio,preco_minimo,preco_maximo,variacao_mensal,inflacao,cotacao_petroleo,consumo_estimado,nivel_preco
2015,1,2015-01-01,Norte,AM,Gasolina,7.49,6.9,8.47,6.75,2.89,78.31,179221,Médio
2015,1,2015-01-01,Norte,PA,Diesel,3.8,3.5,4.3,1.67,10.94,95.35,50575,Alto
2015,1,2015-01-01,Norte,PA,GNV,4.83,4.45,5.46,-2.85,2.6,47.82,171715,Médio
2015,1,2015-01-01,Norte,RO,Gasolina,7.14,6.57,8.07,-4.83,6.99,95.94,195652,Crítico
2015,1,2015-01-01,Norte,TO,Diesel,3.3,3.03,3.73,6.3,3.02,45.92,49432,Médio
2015,1,2015-01-01,Nordeste,BA,Etanol,6.49,5.97,7.33,-0.2,6.98,89.63,5475,Alto
2015,1,2015-01-01,Nordeste,BA,Gasolina,7.05,6.48,7.96,-0.65,10.65,62.09,189584,Crítico
2015,1,2015-01-01,Nordeste,PE,GLP,3.62,3.33,4.09,-0.21,6.44,89.68,81283,Baixo
2015,1,2015-01-01,Nordeste,PE,GNV,6.05,5.57,6.84,-0.2,11.95,71.67,42733,Baixo
2015,1,2015-01-01,Nordeste,CE,Gasolina,6.18,5.69,6.99,0.49,10.6,101.27,35767,Baixo
2015,1,2015-01-01,Nordeste,CE,GNV,3.1,2.85,3.5,-1.33,2.38,97.48,8040,Crítico
2015,1,2015-01-01,Nordeste,MA,GNV,4.56,4.2,5.16,0.87,5.02,53.48,247838,Alto
2015,1,2015-01-01,Nordeste,PB,GLP,5.39,4.96,6.09,-10.53,6.53,105.19,138473,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Etanol,7.19,6.61,8.12,-1.12,8.6,67.36,92074,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Gasolina,4.97,4.58,5.62,-1.28,7.02,104.72,54665,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Etanol,4.04,3.72,4.57,0.72,9.69,50.78,198474,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Etanol,6.03,5.55,6.81,0.82,2.59,69.81,82629,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Gasolina,4.19,3.86,4.74,4.51,6.85,97.68,39061,Baixo
2015,1,2015-01-01,Sudeste,SP,Gasolina,7.34,6.75,8.3,2.96,2.09,58.35,114799,Crítico
2015,1,2015-01-01,Sudeste,SP,Diesel,6.3,5.8,7.12,-4.33,10.44,107.45,45813,Crítico
2015,1,2015-01-01,Sudeste,SP,Etanol,5.75,5.29,6.5,10.59,6.55,59.84,87892,Alto
2015,1,2015-01-01,Sudeste,RJ,GNV,7.25,6.67,8.19,-2.5,9.27,96.09,65374,Alto
2015,1,2015-01-01,Sudeste,RJ,Gasolina,3.71,3.41,4.19,2.13,4.55,77.76,193454,Crítico
2015,1,2015-01-01,Sudeste,RJ,GLP,3.78,3.48,4.27,2.74,10.0,67.35,211241,Baixo
2015,1,2015-01-01,Sudeste,RJ,Diesel,4.05,3.72,4.57,-1.01,10.91,49.59,84589,Médio
2015,1,2015-01-01,Sudeste,MG,Diesel,4.03,3.71,4.55,-4.06,10.94,48.8,50878,Alto
2015,1,2015-01-01,Sudeste,MG,Diesel,7.42,6.83,8.39,1.26,3.54,72.92,129817,Médio
2015,1,2015-01-01,Sudeste,MG,GNV,3.5,3.22,3.96,4.35,2.01,68.87,125938,Alto
2015,1,2015-01-01,Sudeste,ES,GNV,5.05,4.65,5.71,5.72,3.01,81.82,187333,Baixo
2015,1,2015-01-01,Sudeste,ES,GLP,6.8,6.25,7.68,-0.56,4.33,68.84,114866,Médio
2015,1,2015-01-01,Sudeste,ES,Diesel,6.32,5.81,7.14,3.2,5.59,52.52,148842,Médio
2015,1,2015-01-01,Sul,PR,GNV,4.54,4.17,5.13,-7.7,6.69,101.41,177330,Crítico
